,species,alpha,ini,cost,success
430,PV,0.03,"[0.3915466579689513, -0.8582867687454152]",0.17065455611962957,True
431,PV,0.03,"[1.1132517660923897, -0.21703947340502916]",0.17065455610940428,True
432,PV,0.03,"[0.24175481539699342, -0.3720994256033143]",0.17065455610914976,True
433,PV,0.03,"[0.17082813259505475, -0.9252519204649086]",0.1706545561091497,True
434,PV,0.03,"[0.0675156939645129, -1.6120946272257766]",0.17065455610915045,True
435,PV,0.03,"[1.5864106382073104, -0.6354092235180917]",0.1706545561094242,True
436,PV,0.03,"[1.4697094461617475, -1.7596068149577517]",0.17065455610915,True
437,PV,0.03,"[1.2750442567855267, -1.0223025429008887]",0.1706545561195466,True
438,PV,0.03,"[0.8018135718648278, -1.888465949387544]",0.17065455610940913,True
439,PV,0.03,"[0.6013374519653201, -1.5685619808430529]",0.17065455610941402,True
440,PV,0.1,"[1.751051630467653, -0.7246930423351403]",0.28777817916387505,True
441,PV,0.1,"[1.3458228426760899, -1.2228656005150382]",0.2877781791636292,True
442,PV,0.1,"[1.9871288484875371, -1.3573001326799654]",0.28777817916362924,True
443,PV,0.1,"[1.8944982183940007, -1.9430772432281715]",0.28777817916363185,True
444,PV,0.1,"[1.6422671299097746, -1.4896225341371667]",0.2877781794428014,True
445,PV,0.1,"[0.7543407880094254, -0.41695235121435137]",0.28777817916363,True
446,PV,0.1,"[0.45880708337599574, -0.5418456798756592]",0.28777817917396087,True
447,PV,0.1,"[0.5843882627776176, -1.1357870449636507]",0.2877781791636308,True
448,PV,0.1,"[1.0375966601709323, -0.05862822091645126]",0.28777817916389936,True
449,PV,0.1,"[0.9861037634676985, -0.16199748570724215]",0.287778179173944,True
450,PV,0.1,"[0.3915466579689513, -0.8582867687454152]",0.2877781791636294,True
451,PV,0.1,"[1.1132517660923897, -0.21703947340502916]",0.2877781794428974,True
452,PV,0.1,"[0.24175481539699342, -0.3720994256033143]",0.28777817916363063,True
453,PV,0.1,"[0.17082813259505475, -0.9252519204649086]",0.28777817916387216,True
454,PV,0.1,"[0.0675156939645129, -1.6120946272257766]",0.28777817916362936,True
455,PV,0.1,"[1.5864106382073104, -0.6354092235180917]",0.28777817916363096,True
456,PV,0.1,"[1.4697094461617475, -1.7596068149577517]",0.28777817916387205,True
457,PV,0.1,"[1.2750442567855267, -1.0223025429008887]",0.28777817916363013,True
458,PV,0.1,"[0.8018135718648278, -1.888465949387544]",0.28777817916363,True
459,PV,0.1,"[0.6013374519653201, -1.5685619808430529]",0.28777817917397586,True
460,PV,0.3,"[1.751051630467653, -0.7246930423351403]",0.6120112976545945,True
461,PV,0.3,"[1.3458228426760899, -1.2228656005150382]",0.6120112976549139,True
462,PV,0.3,"[1.9871288484875371, -1.3573001326799654]",0.6120112976545933,True
463,PV,0.3,"[1.8944982183940007, -1.9430772432281715]",0.6120112976545923,True
464,PV,0.3,"[1.6422671299097746, -1.4896225341371667]",0.6120112976545928,True
465,PV,0.3,"[0.7543407880094254, -0.41695235121435137]",0.6120112976545933,True
466,PV,0.3,"[0.45880708337599574, -0.5418456798756592]",0.6120112976545932,True
467,PV,0.3,"[0.5843882627776176, -1.1357870449636507]",0.6120112976549408,True
468,PV,0.3,"[1.0375966601709323, -0.05862822091645126]",0.6120112976545935,True
469,PV,0.3,"[0.9861037634676985, -0.16199748570724215]",0.6120112976545931,True
470,PV,0.3,"[0.3915466579689513, -0.8582867687454152]",0.6120112976545927,True
471,PV,0.3,"[1.1132517660923897, -0.21703947340502916]",0.6120112976545927,True
472,PV,0.3,"[0.24175481539699342, -0.3720994256033143]",0.6120112976545933,True
473,PV,0.3,"[0.17082813259505475, -0.9252519204649086]",0.6120112976545931,True
474,PV,0.3,"[0.0675156939645129, -1.6120946272257766]",0.6120112976545938,True
475,PV,0.3,"[1.5864106382073104, -0.6354092235180917]",0.6120112976545931,True
476,PV,0.3,"[1.4697094461617475, -1.7596068149577517]",0.6120112976545925,True
477,PV,0.3,"[1.2750442567855267, -1.0223025429008887]",0.6120112976670421,True
478,PV,0.3,"[0.8018135718648278, -1.888465949387544]",0.6120112976545944,True
479,PV,0.3,"[0.6013374519653201, -1.5685619808430529]",0.6120112976670382,True
480,PV,1.0,"[1.751051630467653, -0.7246930423351403]",1.5370819737068198,True
481,PV,1.0,"[1.3458228426760899, -1.2228656005150382]",1.537081973706834,True
482,PV,1.0,"[1.9871288484875371, -1.3573001326799654]",1.5370819737068295,True
483,PV,1.0,"[1.8944982183940007, -1.9430772432281715]",1.537081973706821,True
484,PV,1.0,"[1.6422671299097746, -1.4896225341371667]",1.5370819737068215,True
485,PV,1.0,"[0.7543407880094254, -0.41695235121435137]",1.5370819737068202,True
486,PV,1.0,"[0.45880708337599574, -0.5418456798756592]",1.537081973706821,True
487,PV,1.0,"[0.5843882627776176, -1.1357870449636507]",1.5370819737068273,True
488,PV,1.0,"[1.0375966601709323, -0.05862822091645126]",1.5370819737068209,True
489,PV,1.0,"[0.9861037634676985, -0.16199748570724215]",1.5370819737068209,True
490,PV,1.0,"[0.3915466579689513, -0.8582867687454152]",1.5370819737068233,True
491,PV,1.0,"[1.1132517660923897, -0.21703947340502916]",1.5370819737068193,True
492,PV,1.0,"[0.24175481539699342, -0.3720994256033143]",1.5370819737068702,True
493,PV,1.0,"[0.17082813259505475, -0.9252519204649086]",1.5370819737068198,True
494,PV,1.0,"[0.0675156939645129, -1.6120946272257766]",1.537081973706821,True
495,PV,1.0,"[1.5864106382073104, -0.6354092235180917]",1.4550580798179276,True
496,PV,1.0,"[1.4697094461617475, -1.7596068149577517]",1.537081973706914,True
