Time,Sample,Replicate,CD,DP,CA,PC,CS,CH,BU,BT,PV,EL
35,CD_CA,1,0.364083792564839,0,0.039649535435161,0,0,0,0,0,0,0
35,CD_CA,3,0.343449115102917,0,0.047784224897083,0,0,0,0,0,0,0
1,CD_CH,1,0.34007637890114,0,0,0,0,0.16999026409886,0,0,0,0
1,CD_CH,2,0.326092884480436,0,0,0,0,0.148873775519563,0,0,0,0
1,CD_CH,3,0.270225184898325,0,0,0,0,0.202041504101675,0,0,0,0
7,CD_CH,1,0.272616746014092,0,0,0,0,0.001049908985908,0,0,0,0
7,CD_CH,2,0.286130350597629,0,0,0,0,0.002136313402371,0,0,0,0
7,CD_CH,3,0.305372522050422,0,0,0,0,0.001994151949578,0,0,0,0
14,CD_CH,1,0.421182963212255,0,0,0,0,0.007050369787745,0,0,0,0
14,CD_CH,2,0.412897360222622,0,0,0,0,0.002435972777378,0,0,0,0
14,CD_CH,3,0.425633333,0,0,0,0,0,0,0,0,0
21,CD_CH,1,0.4968415994688,0,0,0,0,0.0019584005312,0,0,0,0
21,CD_CH,2,0.488062592016,0,0,0,0,3.738846E-05,0,0,0,0
21,CD_CH,3,0.4602310147712,0,0,0,0,0.0004689852288,0,0,0,0
28,CD_CH,1,0.341247915086584,0,0,0,0,5.209091341575E-05,0,0,0,0
28,CD_CH,2,0.340600009,0,0,0,0,0,0,0,0,0
28,CD_CH,3,0.367299999,0,0,0,0,0,0,0,0,0
1,CD_CS,1,0.335693377625241,0,0,0,0.075606616374759,0,0,0,0,0
1,CD_CS,2,0.588917212159554,0,0,0,0.101082804840446,0,0,0,0,0
1,CD_CS,3,0.55990333530789,0,0,0,0.09999663469211,0,0,0,0,0
7,CD_CS,1,0.406533341,0,0,0,0,0,0,0,0,0
7,CD_CS,2,0.185603077401635,0,0,0,0.000330254598365,0,0,0,0,0
7,CD_CS,3,0.192214229020838,0,0,0,0.002619118979162,0,0,0,0,0
14,CD_CS,1,0.18576668,0,0,0,0,0,0,0,0,0
14,CD_CS,2,0.31256668,0,0,0,0,0,0,0,0,0
14,CD_CS,3,0.250019941748138,0,0,0,0.000146725251862,0,0,0,0,0
21,CD_CS,1,0.326733338,0,0,0,0,0,0,0,0,0
21,CD_CS,3,0.36123007952171,0,0,0,0.06530324947829,0,0,0,0,0
28,CD_CS,1,0.341066658,0,0,0,0,0,0,0,0,0
28,CD_CS,3,0.353026818720003,0,0,0,0.105239856279997,0,0,0,0,0
35,CD_CS,1,0.282366676,0,0,0,0,0,0,0,0,0
35,CD_CS,3,0.176016482439646,0,0,0,0.076850185560355,0,0,0,0,0
1,CD_DP,1,0.376107083547321,0.124159602452679,0,0,0,0,0,0,0,0
1,CD_DP,2,0.414429716152593,0.118536971847407,0,0,0,0,0,0,0,0
1,CD_DP,3,0.489891764414699,0.1344748915853,0,0,0,0,0,0,0,0
7,CD_DP,1,0.070719670174118,0.173047000251615,0,0,0,0,0,0,0,0
7,CD_DP,2,0.093310067308644,0.338056619711022,0,0,0,0,0,0,0,0
7,CD_DP,3,0.056757934089912,0.18420871874053,0,0,0,0,0,0,0,0
14,CD_DP,1,0.121351306919966,0.229882026080033,0,0,0,0,0,0,0,0
14,CD_DP,2,0.187264025692668,0.434469307307332,0,0,0,0,0,0,0,0
21,CD_DP,1,0.1002640092752,0.2664873507248,0,0,0,0,0,0,0,0
21,CD_DP,2,0.120433425399,0.351123464601,0,0,0,0,0,0,0,0
28,CD_DP,1,0.434828146638006,0.230371873361994,0,0,0,0,0,0,0,0
28,CD_DP,2,0.609302349339836,0.285097675660164,0,0,0,0,0,0,0,0
35,CD_DP,1,0.269942737269833,0.419290580730167,0,0,0,0,0,0,0,0
35,CD_DP,2,0.365258301125366,0.487875034874634,0,0,0,0,0,0,0,0
1,CD_EL,1,0.302093092556611,0,0,0,0,0,0,0,0,0.104273568634375
1,CD_EL,2,0.596287425798363,0,0,0,0,0,0,0,0,0.218479234201637
1,CD_EL,3,0.658354552523561,0,0,0,0,0,0,0,0,0.220712108476439
7,CD_EL,1,0.578700123095328,0,0,0,0,0,0,0,0,0.167466527904672
7,CD_EL,2,0.644693770109503,0,0,0,0,0,0,0,0,0.150972869890497
7,CD_EL,3,0.756448083612488,0,0,0,0,0,0,0,0,0.132818591387512
14,CD_EL,1,0.505019069805323,0,0,0,0,0,0,0,0,0.269514263194677
14,CD_EL,2,0.59585371579519,0,0,0,0,0,0,0,0,0.192279617204811
21,CD_EL,1,0.5814799040721,0,0,0,0,0,0,0,0,0.0896200959279
21,CD_EL,2,0.4566991939224,0,0,0,0,0,0,0,0,0.0614008060776
28,CD_EL,1,0.558492018456521,0,0,0,0,0,0,0,0,0.184007953543479
28,CD_EL,2,0.442936775924997,0,0,0,0,0,0,0,0,0.140463200075003
35,CD_EL,1,0.486979096525473,0,0,0,0,0,0,0,0,0.079954252474527
35,CD_EL,2,0.49335299249293,0,0,0,0,0,0,0,0,0.04828033050707
1,CD_PC,1,0.477916626135178,0,0,0.383250044864822,0,0,0,0,0,0
1,CD_PC,2,0.499723676596058,0,0,0.471842955403942,0,0,0,0,0,0
1,CD_PC,3,0.465840830632986,0,0,0.377525807367014,0,0,0,0,0,0
7,CD_PC,1,0,0,0,0,0,0,0,0,0,0
7,CD_PC,2,0,0,0,0,0,0,0,0,0,0
7,CD_PC,3,0,0,0,0,0,0,0,0,0,0
14,CD_PC,1,0,0,0,0,0,0,0,0,0,0
14,CD_PC,2,0,0,0,0,0,0,0,0,0,0
14,CD_PC,3,0,0,0,0,0,0,0,0,0,0
21,CD_PC,1,0,0,0,0,0,0,0,0,0,0
21,CD_PC,2,0,0,0,0,0,0,0,0,0,0
21,CD_PC,3,0,0,0,0,0,0,0,0,0,0
28,CD_PC,1,0,0,0,0,0,0,0,0,0,0
28,CD_PC,2,0,0,0,0,0,0,0,0,0,0
28,CD_PC,3,0,0,0,0,0,0,0,0,0,0
35,CD_PC,1,0,0,0,0,0,0,0,0,0,0
35,CD_PC,2,0,0,0,0,0,0,0,0,0,0
35,CD_PC,3,0,0,0,0,0,0,0,0,0,0
0,CD_DP_CA,1,0.001833333333333,0.001833333333333,0.001833333333333,0,0,0,0,0,0,0
0,CD_DP_CA,2,0.001833333333333,0.001833333333333,0.001833333333333,0,0,0,0,0,0,0
0,CD_DP_CA,3,0.001833333333333,0.001833333333333,0.001833333333333,0,0,0,0,0,0,0
0,CD_DP_PC,1,0.001833333333333,0.001833333333333,0,0.001833333333333,0,0,0,0,0,0
0,CD_DP_PC,2,0.001833333333333,0.001833333333333,0,0.001833333333333,0,0,0,0,0,0
0,CD_DP_PC,3,0.001833333333333,0.001833333333333,0,0.001833333333333,0,0,0,0,0,0
0,CD_DP_CS,1,0.001833333333333,0.001833333333333,0,0,0.001833333333333,0,0,0,0,0
0,CD_DP_CS,2,0.001833333333333,0.001833333333333,0,0,0.001833333333333,0,0,0,0,0
0,CD_DP_CS,3,0.001833333333333,0.001833333333333,0,0,0.001833333333333,0,0,0,0,0
