Treatments,Time,CA,BT,BU,CD,BV,CS,DP,CH
CDanc-BT_4,0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0
CDanc-BT_4,3,0.0,0.041590463,0.0,0.014276203,0.0,0.0,0.0,0.0
CDanc-BT_4,6,0.0,0.796683819,0.0,0.088682847,0.0,0.0,0.0,0.0
CDanc-BT_4,24,0.0,1.059865824,0.0,0.17500087,0.0,0.0,0.0,0.0
CDanc-BT_5,0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0
CDanc-BT_5,3,0.0,0.041135603,0.0,0.012831064,0.0,0.0,0.0,0.0
CDanc-BT_5,6,0.0,0.772003055,0.0,0.084363612,0.0,0.0,0.0,0.0
CDanc-BT_5,24,0.0,1.062687939,0.0,0.169878731,0.0,0.0,0.0,0.0
CDanc-BT_6,0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0
CDanc-BT_6,3,0.0,0.038619716,0.0,0.01124695,0.0,0.0,0.0,0.0
CDanc-BT_6,6,0.0,0.746829174,0.0,0.085937493,0.0,0.0,0.0,0.0
CDanc-BT_6,24,0.0,1.070811247,0.0,0.168655375,0.0,0.0,0.0,0.0
CDanc-BU-BT_4,0,0.0,0.003333333,0.003333333,0.003333333,0.0,0.0,0.0,0.0
CDanc-BU-BT_4,24,0.0,0.888152912,0.197929414,0.165784328,0.0,0.0,0.0,0.0
CDanc-BU-BT_5,0,0.0,0.003333333,0.003333333,0.003333333,0.0,0.0,0.0,0.0
CDanc-BU-BT_5,24,0.0,0.850196887,0.199176399,0.197393356,0.0,0.0,0.0,0.0
CDanc-BU-BT_6,0,0.0,0.003333333,0.003333333,0.003333333,0.0,0.0,0.0,0.0
CDanc-BU-BT_6,24,0.0,0.852875802,0.197022832,0.191067999,0.0,0.0,0.0,0.0
CDanc-BU_1,0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0
CDanc-BU_1,12,0.0,0.0,0.910128387,0.276371641,0.0,0.0,0.0,0.0
CDanc-BU_1,24,0.0,0.0,0.704280815,0.461819165,0.0,0.0,0.0,0.0
CDanc-BU_10,0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0
CDanc-BU_10,24,0.0,0.0,0.350321362,0.75484533,0.0,0.0,0.0,0.0
CDanc-BU_11,0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0
CDanc-BU_11,24,0.0,0.0,0.287985278,0.774181432,0.0,0.0,0.0,0.0
CDanc-BU_12,0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0
CDanc-BU_12,24,0.0,0.0,0.343162554,0.694504113,0.0,0.0,0.0,0.0
CDanc-BU_2,0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0
CDanc-BU_2,12,0.0,0.0,0.880138764,0.300361222,0.0,0.0,0.0,0.0
CDanc-BU_2,24,0.0,0.0,0.672753217,0.495646788,0.0,0.0,0.0,0.0
CDanc-BU_3,0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0
CDanc-BU_3,12,0.0,0.0,0.929463786,0.289136204,0.0,0.0,0.0,0.0
CDanc-BU_3,24,0.0,0.0,0.708452585,0.469347429,0.0,0.0,0.0,0.0
CDanc-BU_4,0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0
CDanc-BU_4,3,0.0,0.0,0.013054515,0.011012152,0.0,0.0,0.0,0.0
CDanc-BU_4,6,0.0,0.0,0.239007862,0.150758805,0.0,0.0,0.0,0.0
CDanc-BU_4,24,0.0,0.0,0.646636135,0.468930551,0.0,0.0,0.0,0.0
CDanc-BU_5,0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0
CDanc-BU_5,3,0.0,0.0,0.013145473,0.011621194,0.0,0.0,0.0,0.0
CDanc-BU_5,6,0.0,0.0,0.21055206,0.141414606,0.0,0.0,0.0,0.0
CDanc-BU_5,24,0.0,0.0,0.62536446,0.490802206,0.0,0.0,0.0,0.0
CDanc-BU_6,0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0
CDanc-BU_6,3,0.0,0.0,0.015321632,0.013145035,0.0,0.0,0.0,0.0
CDanc-BU_6,6,0.0,0.0,0.268011054,0.146355613,0.0,0.0,0.0,0.0
CDanc-BU_6,24,0.0,0.0,0.618738467,0.511428257,0.0,0.0,0.0,0.0
CDanc-BU_7,0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0
CDanc-BU_7,24,0.0,0.0,0.60605998,0.526139983,0.0,0.0,0.0,0.0
CDanc-BU_8,0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0
CDanc-BU_8,24,0.0,0.0,0.535610102,0.607989845,0.0,0.0,0.0,0.0
CDanc-BU_9,0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0
CDanc-BU_9,24,0.0,0.0,0.561522249,0.585377769,0.0,0.0,0.0,0.0
CDanc-CA-BT_4,0,0.003333333,0.003333333,0.0,0.003333333,0.0,0.0,0.0,0.0
CDanc-CA-BT_4,24,0.134712115,0.967816949,0.0,0.099237621,0.0,0.0,0.0,0.0
CDanc-CA-BT_5,0,0.003333333,0.003333333,0.0,0.003333333,0.0,0.0,0.0,0.0
CDanc-CA-BT_5,24,0.15005467,0.935678024,0.0,0.103733976,0.0,0.0,0.0,0.0
CDanc-CA-BT_6,0,0.003333333,0.003333333,0.0,0.003333333,0.0,0.0,0.0,0.0
CDanc-CA-BT_6,24,0.148648297,0.969449271,0.0,0.093869139,0.0,0.0,0.0,0.0
CDanc-CA-BU_4,0,0.003333333,0.0,0.003333333,0.003333333,0.0,0.0,0.0,0.0
CDanc-CA-BU_4,24,0.228651967,0.0,0.368534352,0.499680363,0.0,0.0,0.0,0.0
CDanc-CA-BU_5,0,0.003333333,0.0,0.003333333,0.003333333,0.0,0.0,0.0,0.0
CDanc-CA-BU_5,24,0.2300102,0.0,0.364117841,0.490038679,0.0,0.0,0.0,0.0
CDanc-CA-BU_6,0,0.003333333,0.0,0.003333333,0.003333333,0.0,0.0,0.0,0.0
CDanc-CA-BU_6,24,0.243097162,0.0,0.356807271,0.457662284,0.0,0.0,0.0,0.0
CDanc-CA-BV_4,0,0.003333333,0.0,0.0,0.003333333,0.003333333,0.0,0.0,0.0
CDanc-CA-BV_4,24,0.287328997,0.0,0.0,0.864055856,0.246681862,0.0,0.0,0.0
CDanc-CA-BV_5,0,0.003333333,0.0,0.0,0.003333333,0.003333333,0.0,0.0,0.0
CDanc-CA-BV_5,24,0.2969341,0.0,0.0,0.867011998,0.229120622,0.0,0.0,0.0
CDanc-CA-BV_6,0,0.003333333,0.0,0.0,0.003333333,0.003333333,0.0,0.0,0.0
CDanc-CA-BV_6,24,0.237342714,0.0,0.0,0.869758731,0.279165219,0.0,0.0,0.0
CDanc-CA-CH_4,0,0.003333333,0.0,0.0,0.003333333,0.0,0.0,0.0,0.003333333
CDanc-CA-CH_4,24,0.422357792,0.0,0.0,0.206298317,0.0,0.0,0.0,0.162310535
CDanc-CA-CH_5,0,0.003333333,0.0,0.0,0.003333333,0.0,0.0,0.0,0.003333333
CDanc-CA-CH_5,24,0.418886257,0.0,0.0,0.219441744,0.0,0.0,0.0,0.102038652
CDanc-CA-CH_6,0,0.003333333,0.0,0.0,0.003333333,0.0,0.0,0.0,0.003333333
CDanc-CA-CH_6,24,0.431712024,0.0,0.0,0.206609734,0.0,0.0,0.0,0.085844889
CDanc-CA-CS_4,0,0.003333333,0.0,0.0,0.003333333,0.0,0.003333333,0.0,0.0
CDanc-CA-CS_4,24,0.11551407,0.0,0.0,0.44487648,0.0,0.011976119,0.0,0.0
CDanc-CA-CS_5,0,0.003333333,0.0,0.0,0.003333333,0.0,0.003333333,0.0,0.0
CDanc-CA-CS_5,24,0.124361041,0.0,0.0,0.471417925,0.0,0.012387683,0.0,0.0
CDanc-CA-CS_6,0,0.003333333,0.0,0.0,0.003333333,0.0,0.003333333,0.0,0.0
CDanc-CA-CS_6,24,0.14642759,0.0,0.0,0.492882124,0.0,0.012756949,0.0,0.0
CDanc-CH-BT_4,0,0.0,0.003333333,0.0,0.003333333,0.0,0.0,0.0,0.003333333
CDanc-CH-BT_4,24,0.0,0.974760807,0.0,0.07565245,0.0,0.0,0.0,0.141953417
CDanc-CH-BT_5,0,0.0,0.003333333,0.0,0.003333333,0.0,0.0,0.0,0.003333333
CDanc-CH-BT_5,24,0.0,1.010628471,0.0,0.064941184,0.0,0.0,0.0,0.123897005
CDanc-CH-BT_6,0,0.0,0.003333333,0.0,0.003333333,0.0,0.0,0.0,0.003333333
