Treatments,Time,CD,CA,EL,DP,BU,PV,CDEVO
CD_PV_2,1,0.172066025,0.0,0.0,0.0,0.0,1.099967319,0.0
CD_PV_2,2,0.58480475,0.0,0.0,0.0,0.0,0.650061931,0.0
CD_PV_2,3,0.548233775,0.0,0.0,0.0,0.0,0.624266195,0.0
CD_PV_2,4,0.25349598,0.0,0.0,0.0,0.0,1.067204069,0.0
CD_PV_2,5,0.339864686,0.0,0.0,0.0,0.0,0.872302011,0.0
CD_PV_2,6,0.593311653,0.0,0.0,0.0,0.0,0.455188371,0.0
CD_PV_2,7,0.381503197,0.0,0.0,0.0,0.0,0.837163431,0.0
CD_PV_2,8,0.681156881,0.0,0.0,0.0,0.0,0.505776463,0.0
CD_PV_3,0,0.10999999999999999,0.0,0.0,0.0,0.0,0.10999999999999999,0.0
CD_PV_3,1,0.183888551,0.0,0.0,0.0,0.0,1.107544793,0.0
CD_PV_3,2,0.581169171,0.0,0.0,0.0,0.0,0.695497532,0.0
CD_PV_3,3,0.469787864,0.0,0.0,0.0,0.0,0.70651214,0.0
CD_PV_3,4,0.572021804,0.0,0.0,0.0,0.0,0.720778146,0.0
CD_PV_3,5,0.476676465,0.0,0.0,0.0,0.0,0.805490165,0.0
CD_PV_3,6,0.540584913,0.0,0.0,0.0,0.0,0.685215087,0.0
CD_PV_3,7,0.447946916,0.0,0.0,0.0,0.0,0.795419758,0.0
CD_PV_3,8,0.124921927,0.0,0.0,0.0,0.0,1.166311439,0.0
DP_1,0,0.0,0.0,0.0,0.21999999999999997,0.0,0.0,0.0
DP_1,1,0.0,0.0,0.0,0.257633338,0.0,0.0,0.0
DP_1,2,0.0,0.0,0.0,0.142866674,0.0,0.0,0.0
DP_1,4,0.0,0.0,0.0,0.287299991,0.0,0.0,0.0
DP_1,5,0.0,0.0,0.0,0.189266652,0.0,0.0,0.0
DP_1,6,0.0,0.0,0.0,0.187600009,0.0,0.0,0.0
DP_1,7,0.0,0.0,0.0,0.208166674,0.0,0.0,0.0
DP_1,8,0.0,0.0,0.0,0.217833345,0.0,0.0,0.0
