Time,Sample,Replicate,CD,DP,CA,PC,CS,CH,BU,BT,PV,EL
14,CD_CA,3,0.395505125,0,0.046428208,0,0,0,0,0,0,0
21,CD_CA,1,0.535743936,0,0.049656064,0,0,0,0,0,0,0
21,CD_CA,3,0.381489534,0,0.131210466,0,0,0,0,0,0,0
28,CD_CA,1,0.383979364,0,0.032820623,0,0,0,0,0,0,0
28,CD_CA,3,0.292652904,0,0.099847104,0,0,0,0,0,0,0
35,CD_CA,1,0.364083793,0,0.039649535,0,0,0,0,0,0,0
35,CD_CA,3,0.343449115,0,0.047784225,0,0,0,0,0,0,0
0,CD_CA_BT,1,0.001833333,0,0.001833333,0,0,0,0,0.001833333,0,0
0,CD_CA_BT,2,0.001833333,0,0.001833333,0,0,0,0,0.001833333,0,0
0,CD_CA_BT,3,0.001833333,0,0.001833333,0,0,0,0,0.001833333,0,0
1,CD_CA_BT,1,0.099237621,0,0.134712115,0,0,0,0,0.967816949,0,0
1,CD_CA_BT,2,0.103733976,0,0.15005467,0,0,0,0,0.935678024,0,0
1,CD_CA_BT,3,0.093869139,0,0.148648297,0,0,0,0,0.969449271,0,0
7,CD_CA_BT,2,0.052809743,0,0.088029297,0,0,0,0,0.794927663,0,0
7,CD_CA_BT,3,0.033676648,0,0.092912445,0,0,0,0,0.823377581,0,0
14,CD_CA_BT,2,0.080121683,0,0.249381959,0,0,0,0,0.960429692,0,0
14,CD_CA_BT,3,0.087197642,0,0.243477073,0,0,0,0,0.956758618,0,0
21,CD_CA_BT,2,0.118835934,0,0.283124293,0,0,0,0,1.012939773,0,0
21,CD_CA_BT,3,0.123327572,0,0.147387009,0,0,0,0,1.102785418,0,0
28,CD_CA_BT,2,0.052585662,0,0.421476057,0,0,0,0,0.67293832,0,0
28,CD_CA_BT,3,0.075831817,0,0.20572196,0,0,0,0,0.83064621,0,0
35,CD_CA_BT,2,0.04052551,0,0.56011236,0,0,0,0,0.585695503,0,0
35,CD_CA_BT,3,0.072662756,0,0.293996112,0,0,0,0,0.796874417,0,0
0,CD_CA_BU,1,0.001833333,0,0.001833333,0,0,0,0.001833333,0,0,0
0,CD_CA_BU,2,0.001833333,0,0.001833333,0,0,0,0.001833333,0,0,0
0,CD_CA_BU,3,0.001833333,0,0.001833333,0,0,0,0.001833333,0,0,0
1,CD_CA_BU,1,0.499680363,0,0.228651967,0,0,0,0.368534352,0,0,0
1,CD_CA_BU,2,0.490038679,0,0.2300102,0,0,0,0.364117841,0,0,0
1,CD_CA_BU,3,0.457662284,0,0.243097162,0,0,0,0.356807271,0,0,0
7,CD_CA_BU,1,0.228718579,0,0.394143206,0,0,0,0.103604876,0,0,0
7,CD_CA_BU,2,0.163064718,0,0.44179255,0,0,0,0.072209421,0,0,0
7,CD_CA_BU,3,0.192430278,0,0.474705287,0,0,0,0.05523113,0,0,0
14,CD_CA_BU,1,0.355669077,0,0.159606761,0,0,0,0.031557496,0,0,0
14,CD_CA_BU,2,0.243920863,0,0.435805276,0,0,0,0.224407194,0,0,0
0,CD_CA_CH,1,0.001833333,0,0.001833333,0,0,0.001833333,0,0,0,0
0,CD_CA_CH,2,0.001833333,0,0.001833333,0,0,0.001833333,0,0,0,0
0,CD_CA_CH,3,0.001833333,0,0.001833333,0,0,0.001833333,0,0,0,0
1,CD_CA_CH,1,0.206298317,0,0.422357792,0,0,0.162310535,0,0,0,0
1,CD_CA_CH,2,0.219441744,0,0.418886257,0,0,0.102038652,0,0,0,0
1,CD_CA_CH,3,0.206609734,0,0.431712024,0,0,0.085844889,0,0,0,0
7,CD_CA_CH,1,0.22726941,0,0.032950933,0,0,0.002946328,0,0,0,0
7,CD_CA_CH,2,0.22030627,0,0.029074558,0,0,0.001485829,0,0,0,0
7,CD_CA_CH,3,0.316753195,0,0.038049376,0,0,0.002264095,0,0,0,0
14,CD_CA_CH,1,0.33293121,0,0.105057101,0,0,0.021945023,0,0,0,0
14,CD_CA_CH,2,0.375217634,0,0.094693102,0,0,0.017622598,0,0,0,0
21,CD_CA_CH,1,0.455371903,0,0.055100374,0,0,0.001727724,0,0,0,0
21,CD_CA_CH,2,0.444133815,0,0.053130525,0,0,0.00193566,0,0,0,0
28,CD_CA_CH,1,0.310821616,0,0.103082612,0,0,0.021595763,0,0,0,0
28,CD_CA_CH,2,0.356028331,0,0.062689374,0,0,0.011282268,0,0,0,0
35,CD_CA_CH,1,0.33180767,0,0.039326734,0,0,0.000698935,0,0,0,0
35,CD_CA_CH,2,0.346930462,0,0.032659445,0,0,0.000843429,0,0,0,0
0,CD_CA_CS,1,0.001833333,0,0.001833333,0,0.001833333,0,0,0,0,0
0,CD_CA_CS,2,0.001833333,0,0.001833333,0,0.001833333,0,0,0,0,0
0,CD_CA_CS,3,0.001833333,0,0.001833333,0,0.001833333,0,0,0,0,0
1,CD_CA_CS,1,0.44487648,0,0.11551407,0,0.011976119,0,0,0,0,0
1,CD_CA_CS,2,0.471417925,0,0.124361041,0,0.012387683,0,0,0,0,0
1,CD_CA_CS,3,0.492882124,0,0.14642759,0,0.012756949,0,0,0,0,0
7,CD_CA_CS,1,0.257750498,0,0.030624327,0,9.18E-05,0,0,0,0,0
7,CD_CA_CS,2,0.24831878,0,0.027803945,0,0.000143944,0,0,0,0,0
7,CD_CA_CS,3,0.28667424,0,0.133057396,0,0.098635004,0,0,0,0,0
14,CD_CA_CS,1,0.314670636,0,0.214568065,0,0.063494632,0,0,0,0,0
14,CD_CA_CS,2,0.353260771,0,0.21738478,0,0.135287783,0,0,0,0,0
14,CD_CA_CS,3,0.347959711,0,0.178964491,0,0.111109131,0,0,0,0,0
21,CD_CA_CS,1,0.464059158,0,0.240346887,0,0.097993955,0,0,0,0,0
21,CD_CA_CS,2,0.537482764,0,0.158037953,0,0.095779283,0,0,0,0,0
28,CD_CA_CS,1,0.484656922,0,0.331032481,0,0.095310576,0,0,0,0,0
28,CD_CA_CS,2,0.48885401,0,0.127817922,0,0.051028085,0,0,0,0,0
35,CD_CA_CS,1,0.28613169,0,0.138798697,0,0.101402961,0,0,0,0,0
35,CD_CA_CS,2,0.33077033,0,0.266094567,0,0.095268425,0,0,0,0,0
0,CD_CA_EL,1,0.001833333,0,0.001833333,0,0,0,0,0,0,0.001833333
0,CD_CA_EL,2,0.001833333,0,0.001833333,0,0,0,0,0,0,0.001833333
0,CD_CA_EL,3,0.001833333,0,0.001833333,0,0,0,0,0,0,0.001833333
1,CD_CA_EL,1,0.437305024,0,0.303165988,0,0,0,0,0,0,0.120195636
1,CD_CA_EL,2,0.632954795,0,0.418672053,0,0,0,0,0,0,0.165939836
1,CD_CA_EL,3,0.583889466,0,0.395123971,0,0,0,0,0,0,0.12225326
7,CD_CA_EL,2,0.613548788,0,0.395028228,0,0,0,0,0,0,0.165589668
7,CD_CA_EL,3,0.37147261,0,0.368985484,0,0,0,0,0,0,0.127808553
14,CD_CA_EL,3,0.257474239,0,0.611231685,0,0,0,0,0,0,0.325127409
21,CD_CA_EL,3,0.18645357,0,0.70338772,0,0,0,0,0,0,0.18905871
28,CD_CA_EL,3,0.242989183,0,0.169708472,0,0,0,0,0,0,0.083702369
35,CD_CA_EL,3,0.508514067,0,0.328733372,0,0,0,0,0,0,0.088185914
0,CD_CA_PC,1,0.001833333,0,0.001833333,0.001833333,0,0,0,0,0,0
0,CD_CA_PC,2,0.001833333,0,0.001833333,0.001833333,0,0,0,0,0,0
0,CD_CA_PC,3,0.001833333,0,0.001833333,0.001833333,0,0,0,0,0,0
