Treatments,species,true,pred,stdv,passage
CD_BT,DP,0.0,0.0,0.0,2
CD_BT,CA,0.0,0.0,0.0,2
CD_BT,PC,0.0,0.0,0.0,2
CD_BT,CS,0.0,0.0,0.0,2
CD_BT,CH,0.0,0.0,0.0,2
CD_BT,BU,0.0,0.0,0.0,2
CD_BT,BT,1.0644550033333333,1.0620617862598036,0.03451190235508191,2
CD_BT,PV,0.0,0.0,0.0,2
CD_BT,EL,0.0,0.0,0.0,2
CD_BT,CD,0.0012943373333333334,0.05382581687074606,0.04384253314681275,8
CD_BT,DP,0.0,0.0,0.0,8
CD_BT,CA,0.0,0.0,0.0,8
CD_BT,PC,0.0,0.0,0.0,8
CD_BT,CS,0.0,0.0,0.0,8
CD_BT,CH,0.0,0.0,0.0,8
CD_BT,BU,0.0,0.0,0.0,8
CD_BT,BT,0.8515056793333334,1.05330440199912,0.030500165977462836,8
CD_BT,PV,0.0,0.0,0.0,8
CD_BT,EL,0.0,0.0,0.0,8
CD_BT,CD,0.0002669676666666667,0.053569773375659165,0.04415619027055498,15
CD_BT,DP,0.0,0.0,0.0,15
CD_BT,CA,0.0,0.0,0.0,15
CD_BT,PC,0.0,0.0,0.0,15
CD_BT,CS,0.0,0.0,0.0,15
CD_BT,CH,0.0,0.0,0.0,15
CD_BT,BU,0.0,0.0,0.0,15
CD_BT,BT,1.2297996986666666,1.0533999711003106,0.030397761170720905,15
CD_BT,PV,0.0,0.0,0.0,15
CD_BT,EL,0.0,0.0,0.0,15
CD_BT,CD,0.0008053896666666667,0.05348519506355981,0.044263243495783956,22
CD_BT,DP,0.0,0.0,0.0,22
CD_BT,CA,0.0,0.0,0.0,22
CD_BT,PC,0.0,0.0,0.0,22
CD_BT,CS,0.0,0.0,0.0,22
CD_BT,CH,0.0,0.0,0.0,22
CD_BT,BU,0.0,0.0,0.0,22
CD_BT,BT,1.2687279436666667,1.0534316471518577,0.030364716366298724,22
CD_BT,PV,0.0,0.0,0.0,22
CD_BT,EL,0.0,0.0,0.0,22
CD_BT,CD,0.00039182433333333325,0.053443212860629204,0.044317004914891205,29
CD_BT,DP,0.0,0.0,0.0,29
CD_BT,CA,0.0,0.0,0.0,29
CD_BT,PC,0.0,0.0,0.0,29
CD_BT,CS,0.0,0.0,0.0,29
CD_BT,CH,0.0,0.0,0.0,29
CD_BT,BU,0.0,0.0,0.0,29
CD_BT,BT,1.0805748523333334,1.0534473220960492,0.03034849753394381,29
CD_BT,PV,0.0,0.0,0.0,29
CD_BT,EL,0.0,0.0,0.0,29
CD_BT,CD,0.0004164066666666667,0.053418235709626206,0.0443491854114445,36
CD_BT,DP,0.0,0.0,0.0,36
CD_BT,CA,0.0,0.0,0.0,36
CD_BT,PC,0.0,0.0,0.0,36
CD_BT,CS,0.0,0.0,0.0,36
CD_BT,CH,0.0,0.0,0.0,36
CD_BT,BU,0.0,0.0,0.0,36
CD_BT,BT,0.964883592,1.0534566327966732,0.03033890567372596,36
CD_BT,PV,0.0,0.0,0.0,36
CD_BT,EL,0.0,0.0,0.0,36
CD_BT_EL,CD,0.0018333330000000001,0.0018333329999999997,4.529648946440443e-19,1
CD_BT_EL,DP,0.0,0.0,0.0,1
CD_BT_EL,CA,0.0,0.0,0.0,1
CD_BT_EL,PC,0.0,0.0,0.0,1
CD_BT_EL,CS,0.0,0.0,0.0,1
CD_BT_EL,CH,0.0,0.0,0.0,1
CD_BT_EL,BU,0.0,0.0,0.0,1
CD_BT_EL,BT,0.0018333330000000001,0.0018333329999999997,4.529648946440443e-19,1
CD_BT_EL,PV,0.0,0.0,0.0,1
CD_BT_EL,EL,0.0018333330000000001,0.0018333329999999997,4.529648946440443e-19,1
CD_BT_EL,CD,0.13766722233333334,0.08152960211117653,0.035120741598078625,2
CD_BT_EL,DP,0.0,0.0,0.0,2
CD_BT_EL,CA,0.0,0.0,0.0,2
CD_BT_EL,PC,0.0,0.0,0.0,2
CD_BT_EL,CS,0.0,0.0,0.0,2
CD_BT_EL,CH,0.0,0.0,0.0,2
CD_BT_EL,BU,0.0,0.0,0.0,2
CD_BT_EL,BT,1.1434639493333332,1.157630211978481,0.040742159173168285,2
CD_BT_EL,PV,0.0,0.0,0.0,2
CD_BT_EL,EL,0.00046882099999999996,0.03220121615071162,0.015115025893064923,2
CD_BT_EL,CD,0.00038100533333333334,0.07069362206839282,0.036898136713140565,8
CD_BT_EL,DP,0.0,0.0,0.0,8
CD_BT_EL,CA,0.0,0.0,0.0,8
CD_BT_EL,PC,0.0,0.0,0.0,8
CD_BT_EL,CS,0.0,0.0,0.0,8
CD_BT_EL,CH,0.0,0.0,0.0,8
CD_BT_EL,BU,0.0,0.0,0.0,8
CD_BT_EL,BT,0.9584792563333333,1.11984118977064,0.018563251353773593,8
CD_BT_EL,PV,0.0,0.0,0.0,8
CD_BT_EL,EL,0.0010397253333333334,0.02493816858190843,0.01588917023029637,8
CD_BT_EL,CD,0.045284000666666664,0.070663415732059,0.036903086732209066,15
CD_BT_EL,DP,0.0,0.0,0.0,15
CD_BT_EL,CA,0.0,0.0,0.0,15
CD_BT_EL,PC,0.0,0.0,0.0,15
CD_BT_EL,CS,0.0,0.0,0.0,15
CD_BT_EL,CH,0.0,0.0,0.0,15
CD_BT_EL,BU,0.0,0.0,0.0,15
CD_BT_EL,BT,1.2743031089999999,1.1197362959845605,0.01849219747842841,15
CD_BT_EL,PV,0.0,0.0,0.0,15
CD_BT_EL,EL,0.007346223666666666,0.02490726886718356,0.015899511833057305,15
CD_BT_EL,CD,0.04805578033333333,0.07066325846326614,0.03690307945589143,22
CD_BT_EL,DP,0.0,0.0,0.0,22
CD_BT_EL,CA,0.0,0.0,0.0,22
CD_BT_EL,PC,0.0,0.0,0.0,22
CD_BT_EL,CS,0.0,0.0,0.0,22
CD_BT_EL,CH,0.0,0.0,0.0,22
CD_BT_EL,BU,0.0,0.0,0.0,22
CD_BT_EL,BT,1.3022763750000002,1.1197354251027003,0.01849136358837953,22
CD_BT_EL,PV,0.0,0.0,0.0,22
CD_BT_EL,EL,0.0012345113333333331,0.024906973230675363,0.015899663734112692,22
CD_BT_EL,CD,0.034033437666666666,0.07066325692769103,0.036903079069408616,29
CD_BT_EL,DP,0.0,0.0,0.0,29
CD_BT_EL,CA,0.0,0.0,0.0,29
CD_BT_EL,PC,0.0,0.0,0.0,29
CD_BT_EL,CS,0.0,0.0,0.0,29
CD_BT_EL,CH,0.0,0.0,0.0,29
CD_BT_EL,BU,0.0,0.0,0.0,29
CD_BT_EL,BT,1.0953943739999998,1.1197354137404256,0.018491351083643658,29
CD_BT_EL,PV,0.0,0.0,0.0,29
CD_BT_EL,EL,0.00507218,0.02490696923120618,0.015899666001604026,29
CD_BT_EL,CD,0.11973664833333335,0.07066325690728109,0.03690307906247847,36
CD_BT_EL,DP,0.0,0.0,0.0,36
CD_BT_EL,CA,0.0,0.0,0.0,36
CD_BT_EL,PC,0.0,0.0,0.0,36
CD_BT_EL,CS,0.0,0.0,0.0,36
CD_BT_EL,CH,0.0,0.0,0.0,36
CD_BT_EL,BU,0.0,0.0,0.0,36
CD_BT_EL,BT,1.0525354293333333,1.119735413573813,0.018491350892575,36
CD_BT_EL,PV,0.0,0.0,0.0,36
CD_BT_EL,EL,0.03169461466666667,0.024906969172079334,0.01589966603588092,36
CD_BT_PV,CD,0.0018333330000000001,0.0018333329999999997,4.529648946440443e-19,1
CD_BT_PV,DP,0.0,0.0,0.0,1
CD_BT_PV,CA,0.0,0.0,0.0,1
CD_BT_PV,PC,0.0,0.0,0.0,1
CD_BT_PV,CS,0.0,0.0,0.0,1
CD_BT_PV,CH,0.0,0.0,0.0,1
CD_BT_PV,BU,0.0,0.0,0.0,1
CD_BT_PV,BT,0.0018333330000000001,0.0018333329999999997,4.529648946440443e-19,1
CD_BT_PV,PV,0.0018333330000000001,0.0018333329999999997,4.529648946440443e-19,1
CD_BT_PV,EL,0.0,0.0,0.0,1
CD_BT_PV,CD,0.23617470966666665,0.07486238239265337,0.03702940286434374,2
CD_BT_PV,DP,0.0,0.0,0.0,2
CD_BT_PV,CA,0.0,0.0,0.0,2
CD_BT_PV,PC,0.0,0.0,0.0,2
CD_BT_PV,CS,0.0,0.0,0.0,2
CD_BT_PV,CH,0.0,0.0,0.0,2
CD_BT_PV,BU,0.0,0.0,0.0,2
CD_BT_PV,BT,0.9901584073333334,1.0130390579085962,0.05497882378002541,2
CD_BT_PV,PV,0.063133537,0.0563255857650179,0.051262641461964055,2
CD_BT_PV,EL,0.0,0.0,0.0,2
CD_BT_PV,CD,0.09885744433333334,0.05431740908989994,0.04294702488604245,8
CD_BT_PV,DP,0.0,0.0,0.0,8
CD_BT_PV,CA,0.0,0.0,0.0,8
CD_BT_PV,PC,0.0,0.0,0.0,8
CD_BT_PV,CS,0.0,0.0,0.0,8
CD_BT_PV,CH,0.0,0.0,0.0,8
CD_BT_PV,BU,0.0,0.0,0.0,8
CD_BT_PV,BT,0.768806736,1.0511195668117734,0.027927106231957922,8
CD_BT_PV,PV,0.0198025,0.008910644600691575,0.011776373657983409,8
CD_BT_PV,EL,0.0,0.0,0.0,8
CD_BT_PV,CD,0.000542005,0.053586370504847686,0.043634677791237926,15
CD_BT_PV,DP,0.0,0.0,0.0,15
CD_BT_PV,CA,0.0,0.0,0.0,15
CD_BT_PV,PC,0.0,0.0,0.0,15
CD_BT_PV,CS,0.0,0.0,0.0,15
CD_BT_PV,CH,0.0,0.0,0.0,15
CD_BT_PV,BU,0.0,0.0,0.0,15
CD_BT_PV,BT,1.2138579953333333,1.0518572952102705,0.0278743740092009,15
CD_BT_PV,PV,0.0,0.0077062517385797285,0.012277539080493692,15
CD_BT_PV,EL,0.0,0.0,0.0,15
CD_BT_PV,CD,0.00046388166666666667,0.053449921072093926,0.04378107306032799,22
CD_BT_PV,DP,0.0,0.0,0.0,22
CD_BT_PV,CA,0.0,0.0,0.0,22
CD_BT_PV,PC,0.0,0.0,0.0,22
CD_BT_PV,CS,0.0,0.0,0.0,22
